VehicleID,VanType
2,Passenger
3,Passenger
4,Passenger
7,Passenger
8,Passenger
10,Passenger
11,Passenger
12,Passenger
13,Cargo
14,Cargo
15,Cargo
32,Cargo
36,Cargo
38,Cargo
39,Cargo
40,Cargo
41,Cargo
42,Cargo
44,Cargo
45,Passenger
46,Passenger
47,Passenger
48,Cargo
49,Cargo
50,Cargo
51,Cargo
52,Cargo
53,Cargo
54,Cargo
57,Cargo
58,Cargo
59,Cargo
60,Cargo
61,Cargo
62,Cargo
63,Cargo
64,Cargo
66,Cargo
67,Cargo
68,Cargo
70,Passenger
72,Passenger
73,Passenger
74,Passenger
75,Passenger
76,Passenger
77,Passenger
78,Passenger
87,Passenger
88,Passenger
89,Passenger
90,Passenger
91,Passenger
92,Passenger
93,Passenger
94,Passenger
95,Passenger
96,Passenger
99,Cargo
100,Cargo
104,Cargo
105,Cargo
108,Cargo
110,Cargo
133,Cargo
135,Cargo
136,Cargo
137,Cargo
138,Cargo
139,Cargo
145,Cargo
146,Cargo
147,Cargo
148,Cargo
154,Cargo
155,Cargo
156,Cargo
158,Cargo
164,Cargo
165,Cargo
170,Passenger
171,Passenger
172,Passenger
173,Passenger
174,Passenger
175,Passenger
183,Passenger
184,Passenger
185,Passenger
186,Passenger
187,Passenger
188,Passenger
189,Passenger
190,Passenger
191,Passenger
192,Passenger
193,Passenger
196,Cargo
197,Cargo
201,Cargo
202,Cargo
205,Cargo
207,Cargo
230,Cargo
232,Cargo
233,Cargo
234,Cargo
235,Cargo
236,Cargo
242,Cargo
243,Cargo
244,Cargo
245,Cargo
251,Cargo
252,Cargo
253,Cargo
255,Cargo
261,Cargo
262,Cargo
267,Passenger
268,Passenger
269,Passenger
270,Passenger
271,Passenger
272,Passenger
280,Passenger
281,Passenger
282,Passenger
283,Passenger
284,Passenger
285,Passenger
286,Passenger
287,Passenger
288,Passenger
289,Passenger
290,Passenger